Kinetic_Energy;Electron.Stp.Pow.;Nuclear.Stp.Pow.;Total.Stp.Pow.;CSDA_Range;Projected_Range;Detour_Factor
MeV;MeV cm2/g;MeV cm2/g;MeV cm2/g;g/cm2;g/cm2;g/cm2
1.50E+01;2.53E+01;1.24E-02;2.53E+01;3.38E-01;3.37E-01;0.9955
1.75E+01;2.24E+01;1.08E-02;2.24E+01;4.43E-01;4.41E-01;0.9957
2.00E+01;2.02E+01;9.51E-03;2.02E+01;5.61E-01;5.59E-01;0.9958
2.50E+01;1.70E+01;7.74E-03;1.70E+01;8.32E-01;8.29E-01;0.996
2.75E+01;1.57E+01;7.08E-03;1.57E+01;9.85E-01;9.82E-01;0.996
3.00E+01;1.47E+01;6.53E-03;1.47E+01;1.15E+00;1.15E+00;0.9961
3.50E+01;1.30E+01;5.65E-03;1.30E+01;1.51E+00;1.51E+00;0.9962
4.00E+01;1.17E+01;4.99E-03;1.17E+01;1.92E+00;1.91E+00;0.9963
4.50E+01;1.07E+01;4.47E-03;1.07E+01;2.37E+00;2.36E+00;0.9964
5.00E+01;9.85E+00;4.05E-03;9.86E+00;2.85E+00;2.84E+00;0.9964
5.50E+01;9.15E+00;3.70E-03;9.16E+00;3.38E+00;3.37E+00;0.9965
6.00E+01;8.56E+00;3.41E-03;8.56E+00;3.94E+00;3.93E+00;0.9966
6.50E+01;8.05E+00;3.16E-03;8.06E+00;4.55E+00;4.53E+00;0.9966
7.00E+01;7.61E+00;2.95E-03;7.61E+00;5.19E+00;5.17E+00;0.9966
7.50E+01;7.23E+00;2.77E-03;7.23E+00;5.86E+00;5.84E+00;0.9967
8.00E+01;6.88E+00;2.60E-03;6.89E+00;6.57E+00;6.55E+00;0.9967
8.50E+01;6.58E+00;2.46E-03;6.58E+00;7.31E+00;7.29E+00;0.9967
9.00E+01;6.31E+00;2.33E-03;6.31E+00;8.09E+00;8.06E+00;0.9968
9.50E+01;6.06E+00;2.21E-03;6.06E+00;8.90E+00;8.87E+00;0.9968
1.00E+02;5.84E+00;2.11E-03;5.84E+00;9.74E+00;9.71E+00;0.9968
